batch_id,timestamp,production_line,warehouse_zone,container_yard,garment_type,units,production_time_sec,conveyor_speed_mps,warehouse_processing_sec,storage_retrieval_sec,yard_crane_time_sec,total_port_dwell_sec,shift,day_of_week
B001,2026-08-01 08:00:00,Line_Alpha,Zone_A,Yard_1,T-Shirt,500,1200,1.2,180,45,120,360,Morning,Monday
B002,2026-08-01 08:15:00,Line_Beta,Zone_B,Yard_2,Jeans,300,900,0.9,150,60,180,480,Morning,Monday
B003,2026-08-01 08:30:00,Line_Gamma,Zone_C,Yard_3,Dress,200,1500,1.5,240,30,90,300,Morning,Monday
B004,2026-08-01 08:45:00,Line_Alpha,Zone_A,Yard_1,Shirts,400,1100,1.1,200,50,150,420,Morning,Monday
B005,2026-08-01 09:00:00,Line_Beta,Zone_B,Yard_2,Trousers,600,800,0.8,120,70,210,540,Morning,Monday
B006,2026-08-01 09:15:00,Line_Gamma,Zone_C,Yard_3,Jackets,250,1800,1.8,300,40,100,360,Morning,Monday
B007,2026-08-01 09:30:00,Line_Alpha,Zone_A,Yard_1,T-Shirt,350,1300,1.3,190,55,130,390,Morning,Monday
B008,2026-08-01 09:45:00,Line_Beta,Zone_B,Yard_2,Jeans,450,950,0.95,160,65,200,480,Morning,Monday
B009,2026-08-01 10:00:00,Line_Gamma,Zone_C,Yard_3,Dress,280,1600,1.6,220,35,85,310,Morning,Monday
B010,2026-08-01 10:15:00,Line_Alpha,Zone_A,Yard_1,Shirts,520,1050,1.05,210,48,160,430,Morning,Monday
B011,2026-08-01 10:30:00,Line_Beta,Zone_B,Yard_2,Trousers,320,850,0.85,130,72,220,550,Morning,Monday
B012,2026-08-01 10:45:00,Line_Gamma,Zone_C,Yard_3,Jackets,270,1900,1.9,320,42,110,380,Morning,Monday
B013,2026-08-01 11:00:00,Line_Alpha,Zone_A,Yard_1,T-Shirt,480,1250,1.25,185,52,125,400,Morning,Monday
B014,2026-08-01 11:15:00,Line_Beta,Zone_B,Yard_2,Jeans,380,920,0.92,155,62,190,490,Morning,Monday
B015,2026-08-01 11:30:00,Line_Gamma,Zone_C,Yard_3,Dress,220,1550,1.55,230,38,95,320,Morning,Monday
B016,2026-08-01 11:45:00,Line_Alpha,Zone_A,Yard_1,Shirts,460,1080,1.08,205,46,155,440,Morning,Monday
B017,2026-08-01 12:00:00,Line_Beta,Zone_B,Yard_2,Trousers,550,820,0.82,140,68,215,530,Afternoon,Monday
B018,2026-08-01 12:15:00,Line_Gamma,Zone_C,Yard_3,Jackets,230,1850,1.85,310,44,105,370,Afternoon,Monday
B019,2026-08-01 12:30:00,Line_Alpha,Zone_A,Yard_1,T-Shirt,420,1280,1.28,195,50,128,410,Afternoon,Monday
B020,2026-08-01 12:45:00,Line_Beta,Zone_B,Yard_2,Jeans,500,900,0.9,170,58,185,470,Afternoon,Monday
B021,2026-08-01 13:00:00,Line_Gamma,Zone_C,Yard_3,Dress,300,1450,1.45,250,32,92,330,Afternoon,Monday
